evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,conversation_phase,error,execution_time,outputs.route_type,outputs.confidence,outputs.reason,reference.expected_route_type,reference.expected_reason_category,reference.expected_is_follow_up,feedback.route_type_match,feedback.reason_category_match,feedback.router_overall
router,router_001,신호 없는 교차로에서 오른쪽 차랑 부딪혔는데 과실비율 알려줘,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""ROUTE_NEW_ACCIDENT""]",easy,new_session,,1.1490819660029956,accident_analysis,1.0,사고 사실을 설명하며 과실비율을 묻고 있음,accident_analysis,new_accident_analysis,False,1,0,0.5
router,router_002,앞차가 갑자기 멈춰서 제가 뒤에서 박았습니다,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""ROUTE_NEW_ACCIDENT""]",medium,new_session,,1.3138937010007794,accident_analysis,1.0,사용자가 사고 사실을 설명하고 있어 과실비율 판단을 위한 분석이 필요함.,accident_analysis,new_accident_analysis,False,1,0,0.5
router,router_003,자전거랑 신호 없는 사거리에서 사고났어요,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_INTERSECTION"", ""ROUTE_NEW_ACCIDENT""]",easy,new_session,,1.2445972569985315,accident_analysis,1.0,사고 상황을 설명하고 있어 과실비율 판단을 위한 정보가 필요함.,accident_analysis,new_accident_analysis,False,1,0,0.5
router,router_004,차랑 사고났어요,"[""CLARITY_INCOMPLETE"", ""ROUTE_NEW_ACCIDENT""]",hard,new_session,,1.4365729589990224,accident_analysis,1.0,사용자가 사고 사실을 언급하였음,accident_analysis,new_accident_analysis,False,1,0,0.5
router,router_005,자전거요,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""ROUTE_FOLLOWUP""]",hard,after_follow_up_question,,1.5154461629972502,accident_analysis,0.9,사고 상대에 대한 정보가 추가되어 과실비율 판단을 위한 상황 설명이 필요함.,accident_analysis,accident_follow_up,True,1,0,0.5
router,router_006,횡단보도였어요,"[""CLARITY_INCOMPLETE"", ""META_CROSSWALK_IN"", ""ROUTE_FOLLOWUP""]",hard,after_follow_up_question,,1.0394201909984986,accident_analysis,1.0,사고 사실을 보충 설명하고 있어 accident_analysis로 판단됨,accident_analysis,accident_follow_up,True,1,0,0.5
router,router_007,자동차였습니다,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""ROUTE_FOLLOWUP""]",hard,after_follow_up_question,,1.2308775399978913,accident_analysis,0.9,"사고 사실을 보충하는 입력으로, 상대 차량의 종류를 명시함.",accident_analysis,accident_follow_up,True,1,0,0.5
router,router_008,"아니요, 횡단보도 밖이 아니라 안이었어요","[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""ROUTE_CORRECTION""]",medium,correction,,1.0863735689999885,accident_analysis,0.9,사고 사실을 보충 설명하고 있어 accident_analysis로 판단됨,accident_analysis,correction,False,1,0,0.5
router,router_009,상대가 자전거가 아니라 자동차였어요,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""ROUTE_CORRECTION""]",medium,correction,,1.3928715999973065,accident_analysis,0.9,사고 사실을 보충하는 내용이므로 accident_analysis로 판단했습니다.,accident_analysis,correction,False,1,0,0.5
router,router_010,방금 답변을 더 쉽게 요약해줘,"[""CLARITY_EXPLICIT"", ""ROUTE_GENERAL""]",easy,after_rag_answer,,1.0885096819984028,general_chat,1.0,사용자가 이전 답변을 요약해달라고 요청함,general_chat,rephrase_previous_answer,False,1,0,0.5
router,router_011,표로 다시 정리해줘,"[""CLARITY_INCOMPLETE"", ""ROUTE_GENERAL""]",medium,after_rag_answer,,1.0165673160008737,general_chat,0.9,사용자가 이전 정보를 표로 정리해달라고 요청함,general_chat,rephrase_previous_answer,False,1,0,0.5
router,router_012,과실비율이 뭐야?,"[""CLARITY_INCOMPLETE"", ""ROUTE_GENERAL""]",easy,new_session,,1.2462546999995538,general_chat,0.9,과실비율에 대한 일반적인 질문입니다.,general_chat,general_rule_question,False,1,0,0.5
router,router_013,인정기준에서 수정요소라는 게 무슨 뜻이야?,"[""CLARITY_EXPLICIT"", ""ROUTE_GENERAL""]",easy,new_session,,1.4047467540003709,general_chat,0.9,사용자가 일반적인 질문을 하고 있어 사고 분석과 관련이 없음,general_chat,general_rule_question,False,1,0,0.5
router,router_014,안녕하세요,"[""CLARITY_INCOMPLETE"", ""ROUTE_GENERAL""]",easy,new_session,,0.9982925799995428,general_chat,1.0,인사로 일반 대화에 해당합니다.,general_chat,smalltalk,False,1,0,0.5
router,router_015,오늘 서울 날씨 알려줘,"[""CLARITY_INCOMPLETE"", ""ROUTE_GENERAL""]",easy,new_session,,0.9155421720024606,general_chat,1.0,날씨에 대한 일반적인 질문입니다.,general_chat,out_of_domain,False,1,0,0.5
