error,execution_time,example_id,suite,case_type_codes,difficulty,case_family,inference_type,query_style,requires_diagram,requires_table,metadata.id,metadata.notes,metadata.suite,metadata.case_type_codes,metadata.difficulty,metadata.case_family,metadata.inference_type,metadata.query_style,metadata.requires_diagram,metadata.requires_table,inputs.question,outputs.error,outputs.error_type,reference.reference,reference.expected_diagram_ids,reference.acceptable_diagram_ids,reference.near_miss_diagram_ids,reference.expected_party_type,reference.expected_location,reference.expected_chunk_types,reference.expected_keywords,reference.requires_diagram,reference.requires_table,feedback.diagram_id_hit,feedback.diagram_id_hit.comment,feedback.location_match,feedback.location_match.comment,feedback.party_type_match,feedback.party_type_match.comment,feedback.chunk_type_match,feedback.chunk_type_match.comment,feedback.keyword_coverage,feedback.keyword_coverage.comment,feedback.near_miss_not_above_expected,feedback.near_miss_not_above_expected.comment,feedback.retrieval_relevance,feedback.retrieval_relevance.comment,feedback.critical_error,feedback.critical_error.comment
Object of type float32 is not JSON serializable,8.873735872999987,retrieval_001,retrieval,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,pedestrian_crosswalk,explicit_keyword,formal,True,True,retrieval_001,,retrieval,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,pedestrian_crosswalk,explicit_keyword,formal,True,True,차량이 녹색신호로 교차로를 지난 뒤 보행자 적색신호에 횡단보도 안 보행자를 충격했습니다.,Object of type float32 is not JSON serializable,TypeError,,"[""보1""]",[],"[""보3"", ""보5""]",,,[],"[""보행자 기본 과실비율"", ""70"", ""적색신호""]",True,True,0,"expected_or_acceptable=['보1'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=3",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.997815380999782,retrieval_002,retrieval,"[""CLARITY_IMPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS"", ""RET_MULTI_ACCEPT""]",medium,pedestrian_crosswalk,implicit_metadata,natural,True,True,retrieval_002,,retrieval,"[""CLARITY_IMPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS"", ""RET_MULTI_ACCEPT""]",medium,pedestrian_crosswalk,implicit_metadata,natural,True,True,보행자가 횡단보도 신호가 바뀌는 중에 건너다 사고가 난 경우 기준을 찾아줘.,Object of type float32 is not JSON serializable,TypeError,,"[""보3""]","[""보4"", ""보7""]","[""보1"", ""보5""]",,,[],"[""보3"", ""보행자 적색신호 횡단 개시"", ""녹색"", ""30""]",True,True,0,"expected_or_acceptable=['보3', '보4', '보7'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=4",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,2.028751328999988,retrieval_003,retrieval,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,pedestrian_crosswalk,explicit_keyword,formal,True,True,retrieval_003,,retrieval,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,pedestrian_crosswalk,explicit_keyword,formal,True,True,보행자는 녹색불에 정상 횡단했고 차가 적색신호로 들어와 충격했습니다.,Object of type float32 is not JSON serializable,TypeError,,"[""보5""]",[],"[""보1"", ""보3""]",,,[],"[""보5"", ""적색신호"", ""0""]",True,True,0,"expected_or_acceptable=['보5'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=3",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.9367611330003456,retrieval_004,retrieval,"[""CLARITY_SYNONYM"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,pedestrian_crosswalk,synonym,natural,True,True,retrieval_004,,retrieval,"[""CLARITY_SYNONYM"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,pedestrian_crosswalk,synonym,natural,True,True,신호등 없는 횡단보도를 건너던 사람이 차에 치였어요.,Object of type float32 is not JSON serializable,TypeError,,"[""보13""]",[],"[""보14(가)"", ""보22(가)""]",,,[],"[""신호기가 없는 횡단보도"", ""보행자 기본 과실비율"", ""0""]",True,True,0,"expected_or_acceptable=['보13'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=3",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.8784335430000283,retrieval_005,retrieval,"[""CLARITY_SYNONYM"", ""META_CROSSWALK_NEAR"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,pedestrian_crosswalk,synonym,natural,True,True,retrieval_005,,retrieval,"[""CLARITY_SYNONYM"", ""META_CROSSWALK_NEAR"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,pedestrian_crosswalk,synonym,natural,True,True,횡단보도 10m 이내에서 보행자가 적색으로 건너다가 우회전차와 충돌한 기준이 궁금합니다.,Object of type float32 is not JSON serializable,TypeError,,"[""보18""]",[],"[""보13"", ""보23""]",,,[],"[""보18"", ""횡단보도 10m 이내"", ""보행자 기본 과실비율"", ""60""]",True,True,0,"expected_or_acceptable=['보18'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=4",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.9456107309997606,retrieval_006,retrieval,"[""CLARITY_EXPLICIT"", ""META_NO_CROSSWALK"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,pedestrian_crosswalk,explicit_keyword,formal,True,True,retrieval_006,,retrieval,"[""CLARITY_EXPLICIT"", ""META_NO_CROSSWALK"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,pedestrian_crosswalk,explicit_keyword,formal,True,True,중앙선이 없는 단일로에서 사람이 도로를 건너다 차량과 충돌했습니다.,Object of type float32 is not JSON serializable,TypeError,,"[""보23""]",[],"[""보13"", ""보18""]",,,[],"[""보23"", ""단일로"", ""보행자 기본 과실비율"", ""20""]",True,True,0,"expected_or_acceptable=['보23'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=4",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.98436446300002,retrieval_007,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,car_intersection,explicit_keyword,natural,True,True,retrieval_007,,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,car_intersection,explicit_keyword,natural,True,True,양쪽 다 적색 신호에 직진하다가 교차로에서 측면 충돌했어요.,Object of type float32 is not JSON serializable,TypeError,,"[""차1-4""]",[],"[""차1-3"", ""차2-2""]",,,[],"[""차1-4"", ""적색 직진"", ""A50"", ""B50""]",True,True,0,"expected_or_acceptable=['차1-4'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=4",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,2.010885640000197,retrieval_008,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,explicit_keyword,formal,True,True,retrieval_008,,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,explicit_keyword,formal,True,True,교차로에서 황색 직진 차량과 적색 직진 차량이 측면 충돌한 기준 찾아줘.,Object of type float32 is not JSON serializable,TypeError,,"[""차1-3""]",[],"[""차1-1"", ""차1-4""]",,,[],"[""황색 직진"", ""적색 직진"", ""A30"", ""B70""]",True,True,0,"expected_or_acceptable=['차1-3'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=4",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.9221029909999743,retrieval_009,retrieval,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",hard,car_intersection,implicit_metadata,colloquial,True,True,retrieval_009,,retrieval,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",hard,car_intersection,implicit_metadata,colloquial,True,True,양쪽 다 빨간불에 직진하다가 교차로에서 박았습니다.,Object of type float32 is not JSON serializable,TypeError,,"[""차1-4""]",[],"[""차1-1"", ""차1-3""]",,,[],"[""적색 직진"", ""A50"", ""B50""]",True,True,0,"expected_or_acceptable=['차1-4'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=3",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.8825619829999596,retrieval_010,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,car_intersection,explicit_keyword,formal,True,True,retrieval_010,,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,car_intersection,explicit_keyword,formal,True,True,적색 직진 차량과 맞은편 녹색화살표 신호 좌회전 차량이 충돌했습니다.,Object of type float32 is not JSON serializable,TypeError,,"[""차2-1""]",[],"[""차2-2"", ""차3-1""]",,,[],"[""적색직진"", ""녹색화살표"", ""신호좌회전""]",True,True,0,"expected_or_acceptable=['차2-1'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=3",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
