evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,inference_type,error,execution_time,outputs.is_sufficient,outputs.party_type,outputs.location,outputs.retrieval_query,outputs.missing_fields,outputs.follow_up_questions,outputs.search_metadata,reference.expected_is_sufficient,reference.expected_party_type,reference.expected_location,reference.expected_missing_fields,reference.expected_follow_up_questions_contain,reference.forbidden_filters,feedback.intake_is_sufficient,feedback.party_type_match,feedback.location_match,feedback.missing_fields_match,feedback.follow_up_contains,feedback.forbidden_filter_absent,feedback.intake_overall
intake,intake_001,보행자가 신호등 있는 횡단보도 안에서 제 차와 부딪혔어요.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_CROSSWALK_IN"", ""INTAKE_FULL""]",easy,explicit_keyword,,4.919810532999691,True,보행자,횡단보도 내,"보행자 신호 상태, 차량 신호 상태, 횡단보도 내",[],[],"{""party_type"": ""보행자"", ""location"": ""횡단보도 내"", ""retrieval_query"": ""보행자 신호 상태, 차량 신호 상태, 횡단보도 내"", ""query_slots"": {""road_control"": ""양쪽 신호등"", ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,보행자,횡단보도 내,[],[],[],1,1,1,1,1,1,1.0
intake,intake_002,횡단보도 바로 옆에서 길 건너던 사람이랑 접촉사고가 났습니다.,"[""CLARITY_SYNONYM"", ""META_PARTY"", ""META_CROSSWALK_NEAR"", ""INTAKE_FULL""]",medium,synonym,,3.7806001260032644,True,보행자,횡단보도 부근,,[],"[""사고 당시 보행자 신호는 어떤 상태였나요?"", ""사고 당시 차량 신호는 어떤 상태였나요?""]","{""party_type"": ""보행자"", ""location"": ""횡단보도 부근"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,보행자,횡단보도 부근,[],[],[],1,1,1,1,1,1,1.0
intake,intake_003,사람이 길 건너다가 제 차랑 부딪혔는데 주변에 횡단보도는 없었어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_NO_CROSSWALK"", ""INTAKE_FULL""]",medium,implicit_metadata,,3.718897027996718,True,보행자,횡단보도 없음,"보행자 사고, 차량 사고, 횡단보도 없음",[],[],"{""party_type"": ""보행자"", ""location"": ""횡단보도 없음"", ""retrieval_query"": ""보행자 사고, 차량 사고, 횡단보도 없음"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,보행자,횡단보도 없음,[],[],[],1,1,1,1,1,1,1.0
intake,intake_004,골목 사거리에서 오른쪽에서 나오던 차랑 박았어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_INTERSECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,,3.8796676930069225,True,자동차,교차로 사고,"상대차량이 맞은편에서 진입, 골목 사거리, 자동차끼리 사고",[],[],"{""party_type"": ""자동차"", ""location"": ""교차로 사고"", ""retrieval_query"": ""상대차량이 맞은편에서 진입, 골목 사거리, 자동차끼리 사고"", ""query_slots"": {""road_control"": null, ""relation"": ""상대차량이 맞은편에서 진입"", ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,교차로 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_005,앞차가 갑자기 멈춰서 제가 뒤에서 박았습니다.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,,5.020659435002017,True,자동차,같은 방향 진행차량 상호간의 사고,"추돌사고, 앞차 급정지, 후행차 추돌, 같은 방향 진행차량",[],[],"{""party_type"": ""자동차"", ""location"": ""같은 방향 진행차량 상호간의 사고"", ""retrieval_query"": ""추돌사고, 앞차 급정지, 후행차 추돌, 같은 방향 진행차량"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": ""추돌"", ""road_priority"": null, ""special_condition"": null}}",True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_006,자전거랑 부딪혔는데 과실이 궁금해요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,4.386459656001534,False,자전거,,,"[""location""]","[""사고 상황이 교차로 사고, 같은 방향 진행차량 사고, 기타 중 어디에 가까운가요?""]","{""party_type"": ""자전거"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,자전거,,"[""location""]","[""사고 상황"", ""교차로""]","[{""location"": ""교차로 사고""}]",1,1,1,1,1,1,1.0
intake,intake_007,보행자랑 사고났어요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,4.694145209999988,False,보행자,,,"[""location""]","[""사고 상황이 횡단보도 안, 횡단보도 부근, 횡단보도 없음 중 어디에 가까운가요?""]","{""party_type"": ""보행자"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,보행자,,"[""location""]","[""횡단보도"", ""사고 상황""]","[{""location"": ""횡단보도 내""}]",1,1,1,1,1,1,1.0
intake,intake_008,자동차끼리 사고가 났는데 기준 찾아주세요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,3.8397770060109906,False,자동차,,,"[""location""]","[""사고 상황이 교차로 사고, 같은 방향 진행차량 사고, 마주보는 방향 사고, 기타 중 어디에 가까운가요?""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,자동차,,"[""location""]","[""사고 상황"", ""같은 방향""]","[{""location"": ""교차로 사고""}]",1,1,1,1,1,1,1.0
intake,intake_009,상대 차가 제 차선으로 넘어와 정면으로 부딪혔어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_OPPOSITE_DIRECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,,3.7606963209982496,True,자동차,마주보는 방향 진행차량 상호 간의 사고,"상대차량이 맞은편에서 진입, 마주보는 방향 진행차량 상호 간의 사고",[],[],"{""party_type"": ""자동차"", ""location"": ""마주보는 방향 진행차량 상호 간의 사고"", ""retrieval_query"": ""상대차량이 맞은편에서 진입, 마주보는 방향 진행차량 상호 간의 사고"", ""query_slots"": {""road_control"": null, ""relation"": ""상대차량이 맞은편에서 진입"", ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,마주보는 방향 진행차량 상호 간의 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_010,신호 없는 교차로에서 충돌했습니다.,"[""CLARITY_EXPLICIT"", ""META_LOCATION"", ""META_INTERSECTION"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,explicit_keyword,,4.4840169030067045,False,,교차로 사고,,"[""party_type""]","[""사고 상대가 보행자, 자동차, 자전거 중 무엇인가요?""]","{""party_type"": null, ""location"": ""교차로 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,교차로 사고,"[""party_type""]","[""상대"", ""보행자""]","[{""party_type"": ""자동차""}]",1,1,1,1,1,1,1.0
intake,intake_011,"마주보는 방향 진행차량 상호 간의 사고로, 중앙선을 넘어온 맞은편 자동차와 정면으로 부딪혔어요.","[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_OPPOSITE_DIRECTION"", ""INTAKE_FULL""]",easy,explicit_keyword,,3.1676762959978078,True,자동차,마주보는 방향 진행차량 상호 간의 사고,"중앙선 침범, 중앙선 침범 사고, 상대차량이 맞은편에서 진입, 마주보는 방향 진행차량 상호 간의 사고",[],[],"{""party_type"": ""자동차"", ""location"": ""마주보는 방향 진행차량 상호 간의 사고"", ""retrieval_query"": ""중앙선 침범, 중앙선 침범 사고, 상대차량이 맞은편에서 진입, 마주보는 방향 진행차량 상호 간의 사고"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": ""중앙선 침범""}}",True,자동차,마주보는 방향 진행차량 상호 간의 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_012,같은 방향으로 가던 옆 자동차가 제 차로로 들어오다가 긁었습니다.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FULL""]",easy,explicit_keyword,,3.0383263109979453,True,자동차,같은 방향 진행차량 상호간의 사고,"상대차량이 측면에서 진입, 진로변경 사고, 같은 방향 진행차량 사고, 진로변경",[],[],"{""party_type"": ""자동차"", ""location"": ""같은 방향 진행차량 상호간의 사고"", ""retrieval_query"": ""상대차량이 측면에서 진입, 진로변경 사고, 같은 방향 진행차량 사고, 진로변경"", ""query_slots"": {""road_control"": null, ""relation"": ""상대차량이 측면에서 진입"", ""a_signal"": null, ""b_signal"": null, ""a_movement"": ""진로변경"", ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_013,주차장에서 자동차가 후진하다가 다른 차와 접촉했어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_OTHER"", ""INTAKE_FULL""]",medium,implicit_metadata,,3.203217959991889,True,자동차,기타,"주차장, 자동차 후진 접촉",[],[],"{""party_type"": ""자동차"", ""location"": ""기타"", ""retrieval_query"": ""주차장, 자동차 후진 접촉"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": ""후진"", ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,기타,[],[],[],1,1,1,1,1,1,1.0
intake,intake_014,차랑 사고났어요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,3.1395432550052647,False,자동차,,,"[""location""]","[""사고 상황이 교차로 사고, 같은 방향 진행차량 사고, 마주보는 방향 사고, 기타 중 어디에 가까운가요?""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,자동차,,"[""location""]","[""사고 상황""]","[{""location"": ""교차로 사고""}]",1,1,1,1,1,1,1.0
intake,intake_015,비슷한 기준 찾아줘.,"[""CLARITY_INCOMPLETE"", ""INTAKE_NONE"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,4.441798297004425,False,,,,"[""party_type"", ""location""]","[""사고 상대와 사고 상황을 조금 더 구체적으로 알려주세요.""]","{""party_type"": null, ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,,"[""party_type"", ""location""]","[""상대"", ""사고""]","[{""party_type"": ""보행자""}, {""location"": ""횡단보도 내""}]",1,1,1,1,1,1,1.0
intake,intake_016,과실비율이 뭐예요?,"[""CLARITY_INCOMPLETE"", ""INTAKE_NONE"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,4.1993470799934585,False,,,,"[""party_type"", ""location""]","[""사고 상대와 사고 상황을 조금 더 구체적으로 알려주세요.""]","{""party_type"": null, ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,,"[""party_type"", ""location""]","[""사고 상황""]","[{""party_type"": ""자동차""}, {""location"": ""기타""}]",1,1,1,1,1,1,1.0
intake,intake_017,횡단보도 근처인지 안인지 헷갈리는데 사람이 건너다가 사고났어요.,"[""CLARITY_DISTRACTOR"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,3.9086841529933736,False,보행자,,,"[""location""]","[""사고 상황이 횡단보도 안, 횡단보도 부근, 횡단보도 없음 중 어디에 가까운가요?""]","{""party_type"": ""보행자"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,보행자,,"[""location""]","[""횡단보도"", ""안""]","[{""location"": ""횡단보도 내""}, {""location"": ""횡단보도 부근""}]",1,1,1,1,1,1,1.0
