evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,conversation_phase,error,execution_time,outputs.error,outputs.error_type,reference.expected_route_type,reference.expected_reason_category,reference.expected_is_follow_up,feedback.route_type_match,feedback.reason_category_match,feedback.router_overall
router,router_001,신호 없는 교차로에서 오른쪽 차랑 부딪혔는데 과실비율 알려줘,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""ROUTE_NEW_ACCIDENT""]",easy,new_session,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,9.184399823425338e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,new_accident_analysis,False,0,0,0.0
router,router_002,앞차가 갑자기 멈춰서 제가 뒤에서 박았습니다,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""ROUTE_NEW_ACCIDENT""]",medium,new_session,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,4.7953002649592236e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,new_accident_analysis,False,0,0,0.0
router,router_003,자전거랑 신호 없는 사거리에서 사고났어요,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_INTERSECTION"", ""ROUTE_NEW_ACCIDENT""]",easy,new_session,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.8883998058736324e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,new_accident_analysis,False,0,0,0.0
router,router_004,차랑 사고났어요,"[""CLARITY_INCOMPLETE"", ""ROUTE_NEW_ACCIDENT""]",hard,new_session,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,4.051299765706062e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,new_accident_analysis,False,0,0,0.0
router,router_005,자전거요,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""ROUTE_FOLLOWUP""]",hard,after_follow_up_question,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,4.431499837664887e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,accident_follow_up,True,0,0,0.0
router,router_006,횡단보도였어요,"[""CLARITY_INCOMPLETE"", ""META_CROSSWALK_IN"", ""ROUTE_FOLLOWUP""]",hard,after_follow_up_question,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.995999941253103e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,accident_follow_up,True,0,0,0.0
router,router_007,자동차였습니다,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""ROUTE_FOLLOWUP""]",hard,after_follow_up_question,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.726900104084052e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,accident_follow_up,True,0,0,0.0
router,router_008,"아니요, 횡단보도 밖이 아니라 안이었어요","[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""ROUTE_CORRECTION""]",medium,correction,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.878699862980284e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,correction,False,0,0,0.0
router,router_009,상대가 자전거가 아니라 자동차였어요,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""ROUTE_CORRECTION""]",medium,correction,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.7638001231243834e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,accident_analysis,correction,False,0,0,0.0
router,router_010,방금 답변을 더 쉽게 요약해줘,"[""CLARITY_EXPLICIT"", ""ROUTE_GENERAL""]",easy,after_rag_answer,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.564600046956912e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,general_chat,rephrase_previous_answer,False,0,0,0.0
router,router_011,표로 다시 정리해줘,"[""CLARITY_INCOMPLETE"", ""ROUTE_GENERAL""]",medium,after_rag_answer,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.64459992852062e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,general_chat,rephrase_previous_answer,False,0,0,0.0
router,router_012,과실비율이 뭐야?,"[""CLARITY_INCOMPLETE"", ""ROUTE_GENERAL""]",easy,new_session,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.433100209804252e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,general_chat,general_rule_question,False,0,0,0.0
router,router_013,인정기준에서 수정요소라는 게 무슨 뜻이야?,"[""CLARITY_EXPLICIT"", ""ROUTE_GENERAL""]",easy,new_session,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.5330001992406324e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,general_chat,general_rule_question,False,0,0,0.0
router,router_014,안녕하세요,"[""CLARITY_INCOMPLETE"", ""ROUTE_GENERAL""]",easy,new_session,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.5238997952546924e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,general_chat,smalltalk,False,0,0,0.0
router,router_015,오늘 서울 날씨 알려줘,"[""CLARITY_INCOMPLETE"", ""ROUTE_GENERAL""]",easy,new_session,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.407000258448534e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,general_chat,out_of_domain,False,0,0,0.0
