evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,case_family,modifier_source,error,execution_time,outputs.error,outputs.error_type,reference.expected_diagram_ids,reference.near_miss_diagram_ids,reference.expected_final_fault_ratio,reference.expected_cannot_determine_reason,reference.required_evidence,reference.expected_party_roles,reference.expected_applicable_modifiers,reference.expected_non_applicable_modifiers,feedback.final_fault_ratio_match,feedback.cannot_determine_match,feedback.required_evidence_coverage,feedback.party_role_coverage,feedback.applicable_modifier_coverage,feedback.non_applicable_modifier_coverage,feedback.reference_diagram_hit,feedback.structured_output_overall
structured_output,struct_001,양쪽 모두 적색 신호에 직진하다가 교차로에서 충돌했습니다.,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""STRUCT_BASE_RATIO""]",easy,car_intersection,none,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.4647333169996273,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""차1-4""]","[""차1-3"", ""차2-2""]","{""a"": 50, ""b"": 50}",,"[""차1-4"", ""적색 직진"", ""A50"", ""B50""]","{""a"": ""적색 직진 차량 A"", ""b"": ""적색 직진 차량 B""}",[],[],0,0,0,0,0,0,0,0.0
structured_output,struct_002,보행자가 적색신호에 건너고 차량은 녹색신호로 교차로 통과 후 충격했습니다.,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""STRUCT_BASE_RATIO""]",easy,pedestrian_crosswalk,none,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.0018789460009429604,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""보1""]","[""보3"", ""보5""]","{""a"": 70, ""b"": 30}",,"[""보행자 기본 과실비율"", ""70"", ""급진입"", ""비적용""]","{""a"": ""보행자"", ""b"": ""차량""}",[],"[""보행자 급진입""]",0,0,0,0,0,0,0,0.0
structured_output,struct_003,신호 없는 횡단보도에서 차량이 보행자를 충격했습니다.,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""STRUCT_BASE_RATIO""]",easy,pedestrian_crosswalk,none,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.001659302997722989,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""보13""]","[""보1"", ""보18""]","{""a"": 0, ""b"": 100}",,"[""보13"", ""신호기가 없는 횡단보도"", ""보행자 기본 과실비율"", ""0""]","{""a"": ""보행자"", ""b"": ""차량""}",[],"[""보행자 급진입""]",0,0,0,0,0,0,0,0.0
structured_output,struct_004,중앙선을 넘어 좌회전 또는 유턴한 맞은편 차량과 정상 직진 차량이 충돌했습니다.,"[""CLARITY_IMPLICIT"", ""META_OPPOSITE_DIRECTION"", ""RET_DIAGRAM"", ""STRUCT_BASE_RATIO""]",medium,car_opposite_direction,none,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.0015070120025484357,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""차31-3""]","[""차31-2"", ""차31-4""]","{""a"": 0, ""b"": 100}",,"[""차31-3"", ""중앙선침범 좌회전"", ""A0"", ""B100""]","{""a"": ""정상 직진 차량"", ""b"": ""중앙선침범 좌회전 차량""}",[],[],0,0,0,0,0,0,0,0.0
structured_output,struct_005,"자전거가 녹색 직진, 자동차가 적색 직진으로 교차로에서 충돌했습니다.","[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""STRUCT_BASE_RATIO""]",easy,bicycle_intersection,none,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.0014671099997940473,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""거1-1""]","[""거1-3"", ""차1-1""]","{""a"": 0, ""b"": 100}",,"[""거1-1"", ""자전거"", ""A0"", ""B100""]","{""a"": ""녹색 직진 자전거"", ""b"": ""적색 직진 자동차""}",[],[],0,0,0,0,0,0,0,0.0
structured_output,struct_006,녹색 비보호 좌회전 차량과 맞은편 녹색 직진 차량이 충돌했습니다.,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""STRUCT_ROLE_REVERSAL""]",medium,car_intersection,none,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.0015151320003496949,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""차2-6""]","[""차2-2"", ""차2-1""]","{""a"": 90, ""b"": 10}",,"[""차2-6"", ""비보호 좌회전"", ""녹색 직진"", ""A90"", ""B10""]","{""a"": ""녹색 비보호 좌회전 차량"", ""b"": ""맞은편 녹색 직진 차량""}",[],[],0,0,0,0,0,0,0,0.0
structured_output,struct_007,"자전거가 비보호 좌회전, 맞은편 자동차가 녹색 직진 중 충돌했습니다.","[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""STRUCT_ROLE_REVERSAL""]",medium,bicycle_intersection,none,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.0015149369974096771,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""거2-2""]","[""거2-1"", ""거5-1""]","{""a"": 60, ""b"": 40}",,"[""거2-2"", ""녹색비보호좌회전 자전거"", ""녹색직진 자동차"", ""A60"", ""B40""]","{""a"": ""녹색 비보호 좌회전 자전거"", ""b"": ""녹색 직진 자동차""}",[],[],0,0,0,0,0,0,0,0.0
structured_output,struct_008,자전거를 뒤에서 자동차가 추돌했는데 A/B 역할을 헷갈리지 말아줘.,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""STRUCT_ROLE_REVERSAL""]",hard,bicycle_same_direction,none,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.001548563999676844,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""거31-1""]","[""거31-2"", ""거32-1""]","{""a"": 0, ""b"": 100}",,"[""거31-1"", ""자동차 추돌 사고"", ""A0"", ""B100""]","{""a"": ""피추돌 자전거"", ""b"": ""추돌 자동차""}",[],[],0,0,0,0,0,0,0,0.0
structured_output,struct_009,"보행자가 적색신호에 횡단하고 차량은 녹색신호로 교차로를 통과한 뒤 충격했는데, 야간이라 운전자가 보행자를 보기 어려웠습니다.","[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""RET_DIAGRAM"", ""STRUCT_BASE_RATIO"", ""STRUCT_MODIFIER_SAME""]",medium,pedestrian_crosswalk,same_standard,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.0012979140010429546,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""보1""]","[""보3"", ""보13""]","{""a"": 75, ""b"": 25}",,"[""야간·기타 시야장애"", ""+5"", ""70""]","{""a"": ""보행자"", ""b"": ""차량""}","[""야간·기타 시야장애 +5""]","[""보행자 급진입""]",0,0,0,0,0,0,0,0.0
structured_output,struct_010,"도로에서 선행 자전거를 뒤따르던 자동차가 추돌했는데, 선행 자전거가 이유 없이 급정지했습니다.","[""CLARITY_EXPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""STRUCT_BASE_RATIO"", ""STRUCT_MODIFIER_SAME""]",medium,bicycle_same_direction,same_standard,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",0.0012622430003830232,"HTTPSConnectionPool(host='hk-laptop.tailb5cd36.ts.net', port=443): Max retries exceeded with url: /v1/embeddings/m3 (Caused by NameResolutionError(""HTTPSConnection(host='hk-laptop.tailb5cd36.ts.net', port=443): Failed to resolve 'hk-laptop.tailb5cd36.ts.net' ([Errno -2] Name or service not known)""))",ConnectionError,"[""거31-1""]","[""거31-2"", ""거32-1""]","{""a"": 10, ""b"": 90}",,"[""거31-1"", ""이유 없는 급정지"", ""+10"", ""A0"", ""B100""]","{""a"": ""피추돌 자전거"", ""b"": ""추돌 자동차""}","[""A 이유 없는 급정지 +10""]",[],0,0,0,0,0,0,0,0.0
