evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,inference_type,error,execution_time,outputs.error,outputs.error_type,reference.expected_is_sufficient,reference.expected_party_type,reference.expected_location,reference.expected_missing_fields,reference.expected_follow_up_questions_contain,reference.forbidden_filters,feedback.intake_is_sufficient,feedback.party_type_match,feedback.location_match,feedback.missing_fields_match,feedback.follow_up_contains,feedback.forbidden_filter_absent,feedback.intake_overall
intake,intake_001,보행자가 신호등 있는 횡단보도 안에서 제 차와 부딪혔어요.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_CROSSWALK_IN"", ""INTAKE_FULL""]",easy,explicit_keyword,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,0.017553651006892323,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,보행자,횡단보도 내,[],[],[],0,0,0,0,0,0,0.0
intake,intake_002,횡단보도 바로 옆에서 길 건너던 사람이랑 접촉사고가 났습니다.,"[""CLARITY_SYNONYM"", ""META_PARTY"", ""META_CROSSWALK_NEAR"", ""INTAKE_FULL""]",medium,synonym,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,0.0001449169940315187,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,보행자,횡단보도 부근,[],[],[],0,0,0,0,0,0,0.0
intake,intake_003,사람이 길 건너다가 제 차랑 부딪혔는데 주변에 횡단보도는 없었어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_NO_CROSSWALK"", ""INTAKE_FULL""]",medium,implicit_metadata,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,6.811099592596292e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,보행자,횡단보도 없음,[],[],[],0,0,0,0,0,0,0.0
intake,intake_004,골목 사거리에서 오른쪽에서 나오던 차랑 박았어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_INTERSECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,5.283800419420004e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,자동차,교차로 사고,[],[],[],0,0,0,0,0,0,0.0
intake,intake_005,앞차가 갑자기 멈춰서 제가 뒤에서 박았습니다.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,4.060000355821103e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],0,0,0,0,0,0,0.0
intake,intake_006,자전거랑 부딪혔는데 과실이 궁금해요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.8522994145751e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,자전거,,"[""location""]","[""사고 상황"", ""교차로""]","[{""location"": ""교차로 사고""}]",0,0,0,0,0,0,0.0
intake,intake_007,보행자랑 사고났어요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,7.505300163757056e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,보행자,,"[""location""]","[""횡단보도"", ""사고 상황""]","[{""location"": ""횡단보도 내""}]",0,0,0,0,0,0,0.0
intake,intake_008,자동차끼리 사고가 났는데 기준 찾아주세요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,incomplete,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,5.933499778620899e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,자동차,,"[""location""]","[""사고 상황"", ""같은 방향""]","[{""location"": ""교차로 사고""}]",0,0,0,0,0,0,0.0
intake,intake_009,상대 차가 제 차선으로 넘어와 정면으로 부딪혔어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_OPPOSITE_DIRECTION"", ""INTAKE_FULL""]",medium,implicit_metadata,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,4.169500607531518e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,자동차,마주보는 방향 진행차량 상호 간의 사고,[],[],[],0,0,0,0,0,0,0.0
intake,intake_010,신호 없는 교차로에서 충돌했습니다.,"[""CLARITY_EXPLICIT"", ""META_LOCATION"", ""META_INTERSECTION"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",easy,explicit_keyword,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.730200114659965e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,,교차로 사고,"[""party_type""]","[""상대"", ""보행자""]","[{""party_type"": ""자동차""}]",0,0,0,0,0,0,0.0
