evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,filter_risk,error,execution_time,outputs.search_metadata,outputs.filter,reference.expected_filter,reference.expected_behavior,reference.must_not_filter_fields,reference.expected_fallback_required,feedback.metadata_filter_match,feedback.forbidden_filter_absent,feedback.metadata_filter_overall
metadata_filter,filter_001,보행자가 신호등 있는 횡단보도 안에서 차와 부딪힌 기준,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_CROSSWALK_IN"", ""FILTER_STRICT""]",easy,low,,4.3684005504474044e-05,"{""party_type"": ""보행자"", ""location"": ""횡단보도 내"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""$and"": [{""party_type"": ""보행자""}, {""location"": ""횡단보도 내""}]}","{""$and"": [{""party_type"": ""보행자""}, {""location"": ""횡단보도 내""}]}",filter,[],False,1,1,1.0
metadata_filter,filter_002,횡단보도 부근 보행자 사고 기준,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_CROSSWALK_NEAR"", ""FILTER_STRICT""]",easy,medium,,1.8983002519235015e-05,"{""party_type"": ""보행자"", ""location"": ""횡단보도 부근"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""$and"": [{""party_type"": ""보행자""}, {""location"": ""횡단보도 부근""}]}","{""$and"": [{""party_type"": ""보행자""}, {""location"": ""횡단보도 부근""}]}",filter,[],False,1,1,1.0
metadata_filter,filter_003,신호 없는 교차로 자동차끼리 사고,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_INTERSECTION"", ""FILTER_STRICT""]",easy,low,,1.6745005268603563e-05,"{""party_type"": ""자동차"", ""location"": ""교차로 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""$and"": [{""party_type"": ""자동차""}, {""location"": ""교차로 사고""}]}","{""$and"": [{""party_type"": ""자동차""}, {""location"": ""교차로 사고""}]}",filter,[],False,1,1,1.0
metadata_filter,filter_004,자전거와 신호 없는 교차로 사고,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_INTERSECTION"", ""FILTER_STRICT""]",easy,low,,1.4820005162619054e-05,"{""party_type"": ""자전거"", ""location"": ""교차로 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""$and"": [{""party_type"": ""자전거""}, {""location"": ""교차로 사고""}]}","{""$and"": [{""party_type"": ""자전거""}, {""location"": ""교차로 사고""}]}",filter,[],False,1,1,1.0
metadata_filter,filter_005,앞차 추돌 자동차 사고,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""FILTER_STRICT""]",medium,medium,,1.46429956657812e-05,"{""party_type"": ""자동차"", ""location"": ""같은 방향 진행차량 상호간의 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""$and"": [{""party_type"": ""자동차""}, {""location"": ""같은 방향 진행차량 상호간의 사고""}]}","{""$and"": [{""party_type"": ""자동차""}, {""location"": ""같은 방향 진행차량 상호간의 사고""}]}",filter,[],False,1,1,1.0
metadata_filter,filter_006,보행자랑 사고났는데 위치는 아직 몰라요,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""FILTER_PARTIAL""]",medium,medium,,1.3459008187055588e-05,"{""party_type"": ""보행자"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""party_type"": ""보행자""}","{""party_type"": ""보행자""}",partial_filter,"[""location""]",False,1,1,1.0
metadata_filter,filter_007,교차로 사고인데 상대 종류는 모르겠어요,"[""CLARITY_INCOMPLETE"", ""META_INTERSECTION"", ""FILTER_PARTIAL""]",medium,medium,,1.4541001291945577e-05,"{""party_type"": null, ""location"": ""교차로 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""location"": ""교차로 사고""}","{""location"": ""교차로 사고""}",partial_filter,"[""party_type""]",False,1,1,1.0
metadata_filter,filter_008,자전거랑 부딪혔는데 어디인지는 몰라요,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""FILTER_PARTIAL""]",medium,medium,,2.2068008547648787e-05,"{""party_type"": ""자전거"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""party_type"": ""자전거""}","{""party_type"": ""자전거""}",partial_filter,"[""location""]",False,1,1,1.0
metadata_filter,filter_009,중앙선 침범 상황인데 상대 유형 미상,"[""CLARITY_INCOMPLETE"", ""META_OPPOSITE_DIRECTION"", ""FILTER_PARTIAL""]",medium,medium,,1.779200101736933e-05,"{""party_type"": null, ""location"": ""마주보는 방향 진행차량 상호 간의 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}","{""location"": ""마주보는 방향 진행차량 상호 간의 사고""}","{""location"": ""마주보는 방향 진행차량 상호 간의 사고""}",partial_filter,"[""party_type""]",False,1,1,1.0
metadata_filter,filter_010,차랑 사고났어요,"[""CLARITY_INCOMPLETE"", ""FILTER_NONE""]",hard,low,,1.8342005205340683e-05,"{""party_type"": null, ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",,,no_filter,"[""party_type"", ""location""]",False,1,1,1.0
